name_a,name_b,score
ADP Global Payroll,ADP GlobalView Payroll,90.0
Devyce,DevCycle,85.71
Datavare NSF to EMLX Converter,Datavare NSF to HTML Converter,93.33
DataNumen PDF Repair,DataNumen PSD Repair,95.0
Allocatus,Allocat,87.5
Clearswift Endpoint Data Loss Prevention,Clearswift Adaptive Data Loss Prevention,87.5
Restaurant ERP,Restaurant Pro,85.71
Nuxt.js,Next.js,85.71
SolarWinds NPM,SolarWinds IPAM,89.66
Cisco ASA,Cisco ESA,88.89
Microsoft System Center Operations Manager,Microsoft System Center Configuration Manager,87.36
ZOOK DBX to PST Converter,ZOOK MBOX to PDF Converter,86.27
ZOOK MBOX to PDF Converter,ZOOK MBOX to PST Converter,92.31
ZOOK MBOX to PST Converter,ZOOK EML to PST Converter,90.2
Oracle EBS 12.2.3,Oracle EBS 12.2.10,91.43
Oracle EBS 12.2.10,Oracle EBS 12.2.6,91.43
Oracle EBS 12.2.5,Oracle EBS 12.2.8,94.12
Interactive Intelligence Interaction Recorder,Interactive Intelligence Interaction Dialer,88.64
HPE XP24000 Disk Array,HPE XP1024 Disk Array,88.37
Dell PowerVault TL2000 Tape Library,Dell PowerVault TL4000 Tape Library,97.14
NetApp FAS6200,NetApp FAS2200,92.86
EMC VNX7500,EMC VNX5700,90.91
IBM DS3400,IBM DS4300,90.0
Microsoft Dynamics ERP,Microsoft Dynamics AX,88.37
Microsoft Azure IoT Hub,Microsoft Azure IoT,90.48
LiveSupporti,Live2Support,91.67
RankTrackr,RankTracker,95.24
Cisco ONS,Cisco NCS,88.89
Cisco ACE30,Cisco ACE,90.0
Cisco 3700 Series Routers,Cisco 1900 Series Routers,92.0
Cisco 800 Series Routers,Cisco 1700 Series Routers,93.88
Cisco 2800 Series Routers,Cisco 2600 Series Routers,96.0
Juniper Networks SRX550,Juniper Networks SRX1500,93.62
Palo Alto PA-3220,Palo Alto PA-200,90.91
SonicWall TZ400,SonicWall TZ300,93.33
Palo Alto PA-500,Palo Alto PA-7000,90.91
Microsoft Windows Phone,Microsoft Windows,85.0
EMC VNX5800,EMC VNX5600,90.91
